country,rate_wb,year_wb,rate_itu,year_itu,users_cia,year_cia
afghanistan,18.4,2020,17.6,2019,7020000.0,2020
albania,83.1,2023,83.1,2023,2291000.0,2021
algeria,71.2,2022,71.2,2022,31240000.0,2021
andorra,94.5,2022,94.5,2022,74260.0,2021
angola,39.3,2022,39.3,2022,11550000.0,2021
antigua and barbuda,91.4,2022,91.4,2022,89280.0,2021
argentina,89.2,2023,89.2,2023,39150000.0,2021
armenia,78.6,2021,77.0,2022,2212000.0,2021
aruba,97.2,2017,97.2,2017,106800.0,2021
australia,95.0,2021,94.9,2022,24960000.0,2021
austria,95.3,2023,95.3,2023,8277000.0,2021
azerbaijan,88.0,2022,88.0,2022,8600000.0,2021
bahamas,94.4,2022,94.4,2022,385400.0,2021
bahrain,100.0,2021,100.0,2023,1500000.0,2021
bangladesh,44.5,2023,44.5,2023,66300000.0,2021
barbados,76.2,2022,76.2,2022,240800.0,2021
belarus,91.5,2023,91.5,2023,8352000.0,2021
belgium,94.6,2023,94.6,2023,10920000.0,2021
belize,70.4,2022,70.4,2022,248000.0,2021
benin,33.8,2022,33.8,2022,4420000.0,2021
bermuda,98.4,2017,98.4,2017,64000.0,2021
bhutan,86.8,2022,86.8,2022,670800.0,2021
bolivia,73.3,2022,73.3,2022,7920000.0,2021
bosnia and herzegovina,83.4,2023,83.4,2023,2508000.0,2021
botswana,77.3,2022,77.3,2022,1924000.0,2021
brazil,84.2,2023,84.2,2023,170100000.0,2021
british virgin islands,77.7,2016,77.7,2017,24087.0,2021
brunei,99.0,2022,99.0,2022,441000.0,2021
bulgaria,80.4,2023,80.4,2023,5175000.0,2021
burkina faso,19.9,2022,19.9,2022,4840000.0,2021
burundi,11.3,2022,11.3,2022,754000.0,2021
cambodia,56.7,2022,56.7,2022,10200000.0,2021
cameroon,43.9,2022,43.9,2022,12420000.0,2021
canada,94.6,2018,94.0,2022,35340000.0,2021
cape verde,72.1,2022,72.1,2022,413000.0,2021
cayman islands,81.1,2017,81.1,2017,55148.0,2021
central african republic,10.6,2021,7.5,2019,605000.0,2021
chad,12.2,2022,12.2,2022,3060000.0,2021
chile,94.1,2023,94.1,2023,17100000.0,2021
china,77.5,2023,77.5,2023,1022000000.0,2021
colombia,73.0,2021,72.8,2022,37960000.0,2021
comoros,27.3,2021,16.4,2019,221400.0,2021
costa rica,85.1,2023,85.1,2023,4316000.0,2021
croatia,83.2,2023,83.2,2023,3321000.0,2021
cuba,73.2,2022,73.2,2022,7810000.0,2021
curacao,68.1,2017,68.1,2017,111956.0,2021
cyprus,91.2,2023,91.2,2023,809900.0,2021
czech republic,86.0,2023,86.0,2023,9130000.0,2021
democratic republic of the congo,27.2,2022,27.2,2022,21102720.0,2021
denmark,98.9,2021,98.8,2023,5841000.0,2021
djibouti,65.0,2022,65.0,2022,759000.0,2021
dominica,83.4,2022,83.4,2022,58320.0,2021
dominican republic,85.2,2021,84.4,2022,9350000.0,2021
east timor,40.8,2022,40.8,2022,507000.0,2021
ecuador,72.7,2023,72.7,2023,13680000.0,2021
egypt,72.2,2022,72.2,2022,79200000.0,2021
el salvador,62.9,2022,62.9,2022,3969000.0,2021
equatorial guinea,66.8,2022,66.8,2022,864000.0,2021
eritrea,26.6,2022,26.6,2022,792000.0,2021
estonia,93.2,2023,93.2,2023,1183000.0,2021
eswatini,58.3,2022,58.3,2022,708000.0,2021
ethiopia,19.4,2022,19.4,2022,20400000.0,2021
faroe islands,97.6,2017,97.6,2017,51728.0,2021
fiji,85.2,2022,85.2,2022,809600.0,2021
finland,93.5,2023,93.5,2023,5115000.0,2021
france,86.8,2023,86.8,2023,55900000.0,2021
